transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00733,2026-01-04T19:36:15Z,electronics,True,False,dev_003075,SG,3972
txn_0000501,card_00193,2026-01-18T02:36:39Z,utilities,True,False,dev_002545,US,615
txn_0000502,card_00262,2026-01-21T20:24:17Z,restaurant,False,False,dev_004086,IN,9205
txn_0000503,card_00298,2026-01-01T11:17:50Z,entertainment,True,False,dev_001932,AE,1897
txn_0000504,card_00691,2026-01-01T18:20:11Z,online_retail,True,False,dev_000696,GB,89573
txn_0000505,card_00209,2026-01-09T23:21:09Z,pharmacy,False,False,dev_004002,AE,22360
txn_0000506,card_00267,2026-01-24T02:58:43Z,entertainment,False,False,dev_000860,US,22933
txn_0000507,card_00246,2026-01-11T08:12:52Z,travel,True,False,dev_004838,AE,2056
txn_0000508,card_00482,2026-01-19T09:08:03Z,pharmacy,True,False,dev_001851,DE,15660
txn_0000509,card_00270,2026-01-30T18:10:31Z,grocery,True,False,dev_002941,US,3343
txn_0000510,card_00775,2026-01-23T04:20:19Z,pharmacy,True,False,dev_001501,SG,11346
txn_0000511,card_00522,2026-01-17T23:46:12Z,online_retail,True,True,dev_002751,AE,47749
txn_0000512,card_00472,2026-01-15T04:44:32Z,entertainment,False,False,dev_000509,AE,196
txn_0000513,card_00337,2026-01-09T02:05:39Z,utilities,False,False,dev_000274,AE,30302
txn_0000514,card_00272,2026-01-01T07:30:12Z,utilities,True,False,dev_002491,DE,262
txn_0000515,card_00646,2026-01-05T03:54:12Z,atm_withdrawal,True,False,dev_003619,AE,9306
txn_0000516,card_00709,2026-01-06T08:11:33Z,pharmacy,False,False,dev_001589,US,10898
txn_0000517,card_00692,2026-01-18T21:53:34Z,atm_withdrawal,True,False,dev_002112,GB,1359
txn_0000518,card_00034,2026-01-19T22:56:53Z,atm_withdrawal,True,False,dev_004809,US,32644
txn_0000519,card_00767,2026-01-14T11:40:55Z,online_retail,True,False,dev_004312,AE,3751
txn_0000520,card_00242,2026-01-01T10:16:57Z,travel,False,False,dev_003718,AE,4672
txn_0000521,card_00543,2026-01-12T01:15:20Z,travel,False,False,dev_004093,IN,3450
txn_0000522,card_00194,2026-01-09T17:42:52Z,pharmacy,True,False,dev_001596,US,19501
txn_0000523,card_00572,2026-01-10T12:32:17Z,grocery,False,False,dev_003608,AE,20453
txn_0000524,card_00125,2026-01-03T16:37:10Z,travel,True,False,dev_004322,IN,3667
txn_0000525,card_00257,2026-01-17T22:03:45Z,utilities,False,False,dev_004371,IN,376
txn_0000526,card_00284,2026-01-03T07:37:14Z,restaurant,True,False,dev_002836,AE,3046
txn_0000527,card_00606,2026-01-15T16:40:36Z,atm_withdrawal,True,False,dev_004988,IN,3609
txn_0000528,card_00813,2026-01-18T13:07:11Z,entertainment,True,False,dev_004434,IN,5851
txn_0000529,card_00324,2026-01-02T21:30:30Z,grocery,True,False,dev_001493,GB,1503
